name,country,q1,q2,q3,total,award
anonymous,AUS,100,100,100,300,Gold
anonymous,AUS,100,93,50,243,Gold
anonymous,AUS,85,100,50,235,Gold
anonymous,AUS,100,93,30,223,Gold
anonymous,AUS,100,78,40,218,Gold
anonymous,AUS,100,100,0,200,Silver
anonymous,AUS,85,100,0,185,Silver
anonymous,AUS,60,48,40,148,Silver
anonymous,AUS,60,78,10,148,Silver
anonymous,AUS,100,0,40,140,Silver
anonymous,AUS,60,73,0,133,Silver
anonymous,AUS,30,100,0,130,Silver
anonymous,AUS,45,78,0,123,Silver
anonymous,NZ,45,78,0,123,Silver
anonymous,AUS,60,53,0,113,Bronze
anonymous,AUS,85,23,0,108,Bronze
anonymous,NZ,100,5,0,105,Bronze
anonymous,AUS,100,0,0,100,Bronze
anonymous,NZ,100,0,0,100,Bronze
anonymous,NZ,30,53,10,93,Bronze
anonymous,AUS,85,0,0,85,Bronze
anonymous,AUS,60,5,10,75,Bronze
anonymous,AUS,60,5,10,75,Bronze
anonymous,AUS,60,5,5,70,Bronze
anonymous,AUS,60,5,0,65,Bronze
anonymous,AUS,60,0,0,60,Bronze
anonymous,AUS,30,20,0,50,Bronze
anonymous,AUS,30,0,10,40,Particpation
anonymous,AUS,30,5,5,40,Particpation
anonymous,NZ,30,5,0,35,Particpation
anonymous,NZ,30,0,5,35,Particpation
anonymous,AUS,30,5,0,35,Particpation
anonymous,NZ,30,0,0,30,Particpation
anonymous,AUS,30,0,0,30,Particpation
anonymous,NZ,30,0,0,30,Particpation
anonymous,NZ,30,0,0,30,Particpation
anonymous,AUS,30,0,0,30,Particpation
anonymous,AUS,30,0,0,30,Particpation
anonymous,NZ,30,0,0,30,Particpation
anonymous,NZ,30,0,0,30,Particpation
anonymous,NZ,15,0,5,20,Particpation
anonymous,AUS,15,0,0,15,Particpation
anonymous,NZ,0,5,5,10,Particpation
anonymous,AUS,0,0,10,10,Particpation
anonymous,AUS,0,5,0,5,Particpation
anonymous,AUS,0,5,0,5,Particpation
anonymous,AUS,0,0,5,5,Particpation
